CONE PSI,INLET FLOW (SLPM),SOURCE
0,6.705,S#PPDART007
10,4.277,S#PPDART007
20,2.691,S#PPDART007
30,1.183,S#PPDART007
40,-0.45,S#PPDART007
50,-1.991,S#PPDART007
60,-3.285,S#PPDART007
0,6.621,KPP5
10,4.123,KPP5
20,2.544,KPP5
30,0.97,KPP5
40,-0.702,KPP5
50,-2.266,KPP5
60,-3.545,KPP5
0,5.925,KPP6
10,2.788,KPP6
20,0.831,KPP6
30,-0.949,KPP6
40,-2.63,KPP6
50,-4.273,KPP6
60,-5.666,KPP6
0,6.73,KPP4
10,4.393,KPP4
20,2.797,KPP4
30,1.324,KPP4
40,-0.277,KPP4
50,-1.811,KPP4
60,-2.773,KPP4
0,6.602,KPP9
10,4.159,KPP9
20,2.552,KPP9
30,1.033,KPP9
40,-0.6,KPP9
50,-2.148,KPP9
60,-3.42,KPP9
